"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)",
"1500000US170310404011","Block Group 1, Census Tract 404.01, Cook County, Illinois","42440","58893",
"1500000US170310404012","Block Group 2, Census Tract 404.01, Cook County, Illinois","58667","45122",
"1500000US170310404013","Block Group 3, Census Tract 404.01, Cook County, Illinois","70125","34998",
"1500000US170310404014","Block Group 4, Census Tract 404.01, Cook County, Illinois","75709","15159",
"1500000US170310404021","Block Group 1, Census Tract 404.02, Cook County, Illinois","53875","11894",
"1500000US170310404022","Block Group 2, Census Tract 404.02, Cook County, Illinois","61895","5970",
"1500000US170310404023","Block Group 3, Census Tract 404.02, Cook County, Illinois","53553","24067",
"1500000US170310404024","Block Group 4, Census Tract 404.02, Cook County, Illinois","59808","63534",
"1500000US170310404025","Block Group 5, Census Tract 404.02, Cook County, Illinois","75313","38240",
"1500000US170310406001","Block Group 1, Census Tract 406, Cook County, Illinois","66548","61019",
"1500000US170310406002","Block Group 2, Census Tract 406, Cook County, Illinois","55625","33338",
"1500000US170310406003","Block Group 3, Census Tract 406, Cook County, Illinois","73163","9069",
"1500000US170310407001","Block Group 1, Census Tract 407, Cook County, Illinois","54615","27570",
"1500000US170310407002","Block Group 2, Census Tract 407, Cook County, Illinois","100375","15006",
"1500000US170310407003","Block Group 3, Census Tract 407, Cook County, Illinois","60139","8102",
"1500000US170310407004","Block Group 4, Census Tract 407, Cook County, Illinois","82292","30352",
"1500000US170310408001","Block Group 1, Census Tract 408, Cook County, Illinois","63393","22315",
"1500000US170310408002","Block Group 2, Census Tract 408, Cook County, Illinois","81313","18914",
"1500000US170310409001","Block Group 1, Census Tract 409, Cook County, Illinois","69079","16653",
"1500000US170310409002","Block Group 2, Census Tract 409, Cook County, Illinois","63000","36240",
"1500000US170310501001","Block Group 1, Census Tract 501, Cook County, Illinois","85642","21365",
"1500000US170310501002","Block Group 2, Census Tract 501, Cook County, Illinois","71528","18726",
"1500000US170310502001","Block Group 1, Census Tract 502, Cook County, Illinois","73194","28455",
"1500000US170310502002","Block Group 2, Census Tract 502, Cook County, Illinois","69674","13459",
"1500000US170310502003","Block Group 3, Census Tract 502, Cook County, Illinois","59904","20103",
"1500000US170310503001","Block Group 1, Census Tract 503, Cook County, Illinois","100682","23350",
"1500000US170310503002","Block Group 2, Census Tract 503, Cook County, Illinois","81473","38486",
"1500000US170310503003","Block Group 3, Census Tract 503, Cook County, Illinois","64683","19090",
"1500000US170310505001","Block Group 1, Census Tract 505, Cook County, Illinois","123125","61005",
"1500000US170310505002","Block Group 2, Census Tract 505, Cook County, Illinois","84899","13034",
"1500000US170310505003","Block Group 3, Census Tract 505, Cook County, Illinois","106917","31613",
"1500000US170310505004","Block Group 4, Census Tract 505, Cook County, Illinois","110893","39457",
"1500000US170310505005","Block Group 5, Census Tract 505, Cook County, Illinois","76771","39217",
"1500000US170310506001","Block Group 1, Census Tract 506, Cook County, Illinois","86750","44969",
"1500000US170310506002","Block Group 2, Census Tract 506, Cook County, Illinois","89911","27367",
"1500000US170310507001","Block Group 1, Census Tract 507, Cook County, Illinois","101923","13072",
"1500000US170310508001","Block Group 1, Census Tract 508, Cook County, Illinois","120313","35078",
"1500000US170310509001","Block Group 1, Census Tract 509, Cook County, Illinois","90956","26879",
"1500000US170310510001","Block Group 1, Census Tract 510, Cook County, Illinois","105045","32092",
"1500000US170310511001","Block Group 1, Census Tract 511, Cook County, Illinois","76689","19251",
"1500000US170310512001","Block Group 1, Census Tract 512, Cook County, Illinois","76932","15939",
"1500000US170310512002","Block Group 2, Census Tract 512, Cook County, Illinois","118500","44876",
"1500000US170310513001","Block Group 1, Census Tract 513, Cook County, Illinois","122778","73875",
"1500000US170310513002","Block Group 2, Census Tract 513, Cook County, Illinois","123250","46945",
"1500000US170310514001","Block Group 1, Census Tract 514, Cook County, Illinois","99875","33607",
"1500000US170310514002","Block Group 2, Census Tract 514, Cook County, Illinois","65938","20861",
"1500000US170310601001","Block Group 1, Census Tract 601, Cook County, Illinois","84539","50964",
"1500000US170310601002","Block Group 2, Census Tract 601, Cook County, Illinois","140500","67515",
"1500000US170310601003","Block Group 3, Census Tract 601, Cook County, Illinois","62177","16572",
"1500000US170310602001","Block Group 1, Census Tract 602, Cook County, Illinois","54620","17334",
"1500000US170310602002","Block Group 2, Census Tract 602, Cook County, Illinois","54798","17500",
"1500000US170310603001","Block Group 1, Census Tract 603, Cook County, Illinois","125741","14645",
"1500000US170310603002","Block Group 2, Census Tract 603, Cook County, Illinois","81806","14826",
"1500000US170310604001","Block Group 1, Census Tract 604, Cook County, Illinois","83700","23611",
"1500000US170310604002","Block Group 2, Census Tract 604, Cook County, Illinois","114595","42072",
"1500000US170310604003","Block Group 3, Census Tract 604, Cook County, Illinois","149643","43680",
"1500000US170310605001","Block Group 1, Census Tract 605, Cook County, Illinois","39931","13053",
"1500000US170310608001","Block Group 1, Census Tract 608, Cook County, Illinois","71450","17789",
"1500000US170310608002","Block Group 2, Census Tract 608, Cook County, Illinois","-","**",
"1500000US170310608003","Block Group 3, Census Tract 608, Cook County, Illinois","68854","10868",
"1500000US170310609001","Block Group 1, Census Tract 609, Cook County, Illinois","46591","19724",
"1500000US170310609002","Block Group 2, Census Tract 609, Cook County, Illinois","-","**",
"1500000US170310609003","Block Group 3, Census Tract 609, Cook County, Illinois","70179","44068",
"1500000US170310609004","Block Group 4, Census Tract 609, Cook County, Illinois","54779","16455",
"1500000US170310609005","Block Group 5, Census Tract 609, Cook County, Illinois","27384","6687",
"1500000US170310610001","Block Group 1, Census Tract 610, Cook County, Illinois","85057","16088",
"1500000US170310611001","Block Group 1, Census Tract 611, Cook County, Illinois","88289","28003",
"1500000US170310612001","Block Group 1, Census Tract 612, Cook County, Illinois","99219","13628",
"1500000US170310615001","Block Group 1, Census Tract 615, Cook County, Illinois","100921","7996",
"1500000US170310618001","Block Group 1, Census Tract 618, Cook County, Illinois","57563","13404",
"1500000US170310619011","Block Group 1, Census Tract 619.01, Cook County, Illinois","60455","17661",
"1500000US170310619012","Block Group 2, Census Tract 619.01, Cook County, Illinois","83376","16855",
"1500000US170310619013","Block Group 3, Census Tract 619.01, Cook County, Illinois","52750","45396",
"1500000US170310619014","Block Group 4, Census Tract 619.01, Cook County, Illinois","30790","4618",
"1500000US170310619021","Block Group 1, Census Tract 619.02, Cook County, Illinois","43523","32320",
"1500000US170310619022","Block Group 2, Census Tract 619.02, Cook County, Illinois","40882","9478",
"1500000US170310619023","Block Group 3, Census Tract 619.02, Cook County, Illinois","65882","18997",
"1500000US170310619024","Block Group 4, Census Tract 619.02, Cook County, Illinois","-","**",
"1500000US170310620001","Block Group 1, Census Tract 620, Cook County, Illinois","68929","16984",
"1500000US170310620002","Block Group 2, Census Tract 620, Cook County, Illinois","71484","11007",
"1500000US170310621001","Block Group 1, Census Tract 621, Cook County, Illinois","164792","39612",
"1500000US170310621002","Block Group 2, Census Tract 621, Cook County, Illinois","71782","7824",
"1500000US170310621003","Block Group 3, Census Tract 621, Cook County, Illinois","73750","23963",
"1500000US170310622001","Block Group 1, Census Tract 622, Cook County, Illinois","100735","13491",
"1500000US170310622002","Block Group 2, Census Tract 622, Cook County, Illinois","148125","30990",
