"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",
"1500000US170318253042","Block Group 2, Census Tract 8253.04, Cook County, Illinois","2389","311","2202","266","2202","266","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","187","166","99","102","0","11","0","11","0","11","0","11","44","67","44","68","44","68","0","11",
"1500000US170318254001","Block Group 1, Census Tract 8254, Cook County, Illinois","1447","321","1298","305","1281","304","0","11","0","11","0","11","0","11","0","11","17","27","0","11","17","27","149","166","149","166","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170318254002","Block Group 2, Census Tract 8254, Cook County, Illinois","2376","406","2245","407","2227","403","0","11","18","29","0","11","0","11","0","11","0","11","0","11","0","11","131","132","113","110","0","11","0","11","0","11","0","11","18","32","0","11","0","11","0","11",
"1500000US170318254003","Block Group 3, Census Tract 8254, Cook County, Illinois","1829","532","1400","419","1031","308","156","143","0","11","213","295","0","11","0","11","0","11","0","11","0","11","429","397","194","242","0","11","0","11","0","11","0","11","223","304","12","19","12","19","0","11",
"1500000US170318255011","Block Group 1, Census Tract 8255.01, Cook County, Illinois","1117","388","1087","391","104","71","975","384","0","11","0","11","0","11","8","13","0","11","0","11","0","11","30","33","16","27","14","21","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170318255012","Block Group 2, Census Tract 8255.01, Cook County, Illinois","2823","577","2742","584","394","165","2287","575","4","9","9","14","0","11","10","16","38","45","0","11","38","45","81","77","8","16","60","75","0","11","0","11","0","11","13","16","0","11","0","11","0","11",
"1500000US170318255013","Block Group 3, Census Tract 8255.01, Cook County, Illinois","2407","702","1998","656","193","132","1788","658","17","27","0","11","0","11","0","11","0","11","0","11","0","11","409","494","301","460","0","11","0","11","0","11","0","11","10","18","98","150","98","150","0","11",
"1500000US170318255031","Block Group 1, Census Tract 8255.03, Cook County, Illinois","350","231","246","136","11","34","216","130","0","11","0","11","0","11","0","11","19","29","18","29","1","4","104","190","0","11","0","11","0","11","0","11","0","11","104","190","0","11","0","11","0","11",
"1500000US170318255032","Block Group 2, Census Tract 8255.03, Cook County, Illinois","1259","593","1259","593","21","35","1238","592","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170318255033","Block Group 3, Census Tract 8255.03, Cook County, Illinois","848","443","802","448","399","318","403","324","0","11","0","11","0","11","0","11","0","11","0","11","0","11","46","77","46","77","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170318255034","Block Group 4, Census Tract 8255.03, Cook County, Illinois","1926","639","1926","639","16","25","1857","647","0","11","0","11","0","11","0","11","53","82","0","11","53","82","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170318255035","Block Group 5, Census Tract 8255.03, Cook County, Illinois","2459","595","1985","657","352","206","1532","622","0","11","101","123","0","11","0","11","0","11","0","11","0","11","474","684","6","11","0","11","0","11","0","11","0","11","441","689","27","48","27","48","0","11",
"1500000US170318255041","Block Group 1, Census Tract 8255.04, Cook County, Illinois","1990","328","1990","328","88","73","1902","343","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
