"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied",
"1500000US170310305002","Block Group 2, Census Tract 305, Cook County, Illinois","761","145","310","105","451","145",
"1500000US170310305003","Block Group 3, Census Tract 305, Cook County, Illinois","770","157","301","104","469","130",
"1500000US170310305004","Block Group 4, Census Tract 305, Cook County, Illinois","672","120","310","132","362","114",
"1500000US170310306011","Block Group 1, Census Tract 306.01, Cook County, Illinois","434","123","46","43","388","121",
"1500000US170310306012","Block Group 2, Census Tract 306.01, Cook County, Illinois","418","129","75","44","343","129",
"1500000US170310306013","Block Group 3, Census Tract 306.01, Cook County, Illinois","991","148","674","138","317","93",
"1500000US170310306031","Block Group 1, Census Tract 306.03, Cook County, Illinois","519","119","69","58","450","117",
"1500000US170310306032","Block Group 2, Census Tract 306.03, Cook County, Illinois","703","134","47","43","656","126",
"1500000US170310306041","Block Group 1, Census Tract 306.04, Cook County, Illinois","761","141","85","63","676","136",
"1500000US170310306042","Block Group 2, Census Tract 306.04, Cook County, Illinois","696","99","492","102","204","85",
"1500000US170310306043","Block Group 3, Census Tract 306.04, Cook County, Illinois","455","106","90","56","365","103",
"1500000US170310307011","Block Group 1, Census Tract 307.01, Cook County, Illinois","953","38","198","99","755","100",
"1500000US170310307021","Block Group 1, Census Tract 307.02, Cook County, Illinois","528","88","305","91","223","82",
"1500000US170310307022","Block Group 2, Census Tract 307.02, Cook County, Illinois","493","87","468","83","25","26",
"1500000US170310307031","Block Group 1, Census Tract 307.03, Cook County, Illinois","490","131","204","77","286","115",
"1500000US170310307032","Block Group 2, Census Tract 307.03, Cook County, Illinois","309","106","21","20","288","103",
"1500000US170310307033","Block Group 3, Census Tract 307.03, Cook County, Illinois","821","155","323","96","498","146",
"1500000US170310307061","Block Group 1, Census Tract 307.06, Cook County, Illinois","1583","181","557","134","1026","171",
